,url,genre,game_details
128,https://store.steampowered.com/app/367500/Dragons_Dogma_Dark_Arisen/,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
129,https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War/,Strategy,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud"
130,https://store.steampowered.com/app/387990/Scrap_Mechanic/,"Action,Adventure,Indie,Simulation,Early Access","Single-player,Multi-player,Co-op,Steam Workshop,Steam Cloud"
131,https://store.steampowered.com/app/704270/Generation_Zero/,"Action,Adventure","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Partial Controller Support,Steam Cloud"
132,https://store.steampowered.com/app/325610/Total_War_ATTILA/,Strategy,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
133,https://store.steampowered.com/bundle/10952/Dead_by_Daylight__Deathgarden/,"Action,Early Access","Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
134,https://store.steampowered.com/app/233450/Prison_Architect/,"Indie,Simulation,Strategy","Single-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor"
135,https://store.steampowered.com/bundle/10207/Dying_Light_Ultimate_Collection/,"Action,RPG,Violent,Gore","Single-player,Multi-player,Co-op,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor"
136,https://store.steampowered.com/app/382310/Eco/,"Indie,Simulation,Early Access","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op"
137,https://store.steampowered.com/app/704850/Thief_Simulator/,"Action,Adventure,Indie,Simulation","Single-player,Steam Achievements,Partial Controller Support"
